IP:PORT, LOSS, DELAY
188.114.99.83:7103,0.00%,139 ms
188.114.96.31:4233,0.00%,139 ms
188.114.97.196:7103,0.00%,139 ms
188.114.97.230:7103,0.00%,139 ms
188.114.97.182:4233,0.00%,139 ms
188.114.99.169:4233,0.00%,140 ms
188.114.99.173:7103,0.00%,140 ms
188.114.98.5:7103,0.00%,140 ms
188.114.98.4:4233,0.00%,140 ms
188.114.99.69:7103,0.00%,140 ms
188.114.96.91:7103,0.00%,141 ms
188.114.97.196:4233,0.00%,141 ms
188.114.97.158:7103,0.00%,141 ms
188.114.97.46:4233,0.00%,142 ms
188.114.98.20:7103,0.00%,142 ms
188.114.99.68:7103,0.00%,143 ms
188.114.99.173:4233,0.00%,143 ms
188.114.98.12:7103,0.00%,143 ms
188.114.97.156:7103,0.00%,143 ms
188.114.97.72:7103,0.00%,143 ms
188.114.99.222:7103,0.00%,143 ms
188.114.99.166:7103,0.00%,143 ms
188.114.97.181:4233,0.00%,143 ms
188.114.97.120:7103,0.00%,144 ms
188.114.98.12:4233,0.00%,144 ms
188.114.99.142:7103,0.00%,144 ms
188.114.98.173:7103,0.00%,144 ms
188.114.99.166:4233,0.00%,144 ms
188.114.99.239:7103,0.00%,144 ms
188.114.97.158:4233,0.00%,145 ms
188.114.96.166:7103,0.00%,145 ms
188.114.99.0:7103,0.00%,145 ms
188.114.98.4:7103,0.00%,145 ms
188.114.98.79:4233,0.00%,145 ms
188.114.97.238:4233,0.00%,145 ms
188.114.98.73:4233,0.00%,145 ms
188.114.96.153:7103,0.00%,146 ms
188.114.99.239:4233,0.00%,146 ms
188.114.99.178:7103,0.00%,146 ms
188.114.97.106:4233,0.00%,146 ms
188.114.96.90:4233,0.00%,146 ms
188.114.98.173:4233,0.00%,146 ms
188.114.98.220:7103,0.00%,146 ms
188.114.98.102:7103,0.00%,146 ms
188.114.98.20:4233,0.00%,146 ms
188.114.96.198:7103,0.00%,146 ms
188.114.96.61:4233,0.00%,146 ms
188.114.96.166:4233,0.00%,146 ms
188.114.99.0:4233,0.00%,146 ms
188.114.96.197:7103,0.00%,147 ms
188.114.96.90:7103,0.00%,147 ms
188.114.98.102:4233,0.00%,147 ms
188.114.99.68:4233,0.00%,147 ms
188.114.96.178:4233,0.00%,147 ms
188.114.96.61:7103,0.00%,147 ms
188.114.96.92:4233,0.00%,147 ms
188.114.97.230:4233,0.00%,147 ms
188.114.98.237:7103,0.00%,147 ms
188.114.97.238:7103,0.00%,147 ms
188.114.96.198:4233,0.00%,147 ms
188.114.99.121:4233,0.00%,148 ms
188.114.96.85:4233,0.00%,148 ms
188.114.96.31:7103,0.00%,148 ms
188.114.97.182:7103,0.00%,149 ms
188.114.99.178:4233,0.00%,151 ms
188.114.99.69:4233,0.00%,151 ms
188.114.99.121:7103,0.00%,152 ms
188.114.96.197:4233,0.00%,152 ms
188.114.97.156:4233,0.00%,153 ms
188.114.99.83:4233,0.00%,153 ms
188.114.99.143:4233,0.00%,153 ms
188.114.97.176:7103,0.00%,153 ms
188.114.98.128:4233,0.00%,153 ms
188.114.98.86:7103,0.00%,153 ms
188.114.98.1:7103,0.00%,153 ms
188.114.97.46:7103,0.00%,154 ms
188.114.97.120:4233,0.00%,156 ms
188.114.99.142:4233,0.00%,156 ms
188.114.99.222:4233,0.00%,157 ms
188.114.98.86:4233,0.00%,157 ms
188.114.98.220:4233,0.00%,157 ms
188.114.97.72:4233,0.00%,158 ms
188.114.96.91:4233,0.00%,158 ms
188.114.98.79:7103,0.00%,158 ms
188.114.98.73:7103,0.00%,158 ms
188.114.96.178:7103,0.00%,159 ms
